Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,0.266728,0.296532,0.264918,0.282359,0.282359,4093381450
2021-11-09,0.282539,0.289668,0.271752,0.273526,0.273526,2353452396
2021-11-10,0.273597,0.276989,0.238030,0.255709,0.255709,2820521435
2021-11-11,0.255705,0.269965,0.253283,0.261167,0.261167,1628781435
2021-11-12,0.260937,0.268437,0.249457,0.259414,0.259414,1563007446
2021-11-13,0.259618,0.262251,0.254540,0.261706,0.261706,923837904
2021-11-14,0.261591,0.271257,0.260275,0.262912,0.262912,1264556615
2021-11-15,0.262870,0.265170,0.256367,0.256529,0.256529,1028469310
2021-11-16,0.257094,0.257094,0.226394,0.237249,0.237249,2248804980
2021-11-17,0.237010,0.240906,0.232859,0.237487,0.237487,1543405154
2021-11-18,0.237556,0.241091,0.216099,0.221383,0.221383,1860661769
2021-11-19,0.220995,0.236832,0.216518,0.233110,0.233110,1296123511
2021-11-20,0.233174,0.235953,0.225451,0.233024,0.233024,805305660
2021-11-21,0.233255,0.233350,0.225680,0.226328,0.226328,751789838
2021-11-22,0.226160,0.227531,0.216898,0.219676,0.219676,921753721
2021-11-23,0.219666,0.236201,0.214566,0.226512,0.226512,1907278849
2021-11-24,0.226680,0.230245,0.211836,0.221825,0.221825,1957665360
2021-11-25,0.217132,0.228810,0.214317,0.216326,0.216326,1344826632
2021-11-26,0.221047,0.221759,0.190344,0.200887,0.200887,2231733479
2021-11-27,0.201429,0.209613,0.200871,0.205347,0.205347,917785649
2021-11-28,0.205295,0.207472,0.193064,0.207472,0.207472,1027555437
2021-11-29,0.207444,0.223692,0.203252,0.215175,0.215175,1869737827
2021-11-30,0.215111,0.226890,0.213251,0.214715,0.214715,1897635999
2021-12-01,0.214487,0.218496,0.206298,0.209487,0.209487,988030934
2021-12-02,0.209476,0.223011,0.202169,0.209726,0.209726,1879305770
2021-12-03,0.209463,0.211991,0.193274,0.199993,0.199993,1260948451
2021-12-04,0.200356,0.200562,0.132826,0.178853,0.178853,4388513696
2021-12-05,0.178263,0.181133,0.162949,0.171255,0.171255,1645331135
2021-12-06,0.171383,0.180527,0.159558,0.178400,0.178400,1896979202
2021-12-07,0.178374,0.183539,0.175505,0.176805,0.176805,1085087124
2021-12-08,0.176609,0.182168,0.172630,0.179151,0.179151,1014713070
2021-12-09,0.178961,0.181890,0.169484,0.169484,0.169484,1071039221
2021-12-10,0.169466,0.174610,0.164065,0.164422,0.164422,845450410
2021-12-11,0.164499,0.170080,0.161817,0.169019,0.169019,692929162
2021-12-12,0.168904,0.172899,0.165899,0.169891,0.169891,593132337
2021-12-13,0.169880,0.170615,0.151996,0.157565,0.157565,968464045
2021-12-14,0.157465,0.219632,0.155447,0.180157,0.180157,6411471551
2021-12-15,0.191144,0.191144,0.171266,0.181082,0.181082,2466135011
2021-12-16,0.181171,0.184933,0.172655,0.173454,0.173454,1057988990
2021-12-17,0.173381,0.176559,0.162263,0.169010,0.169010,1026719015
2021-12-18,0.169100,0.174874,0.166244,0.172400,0.172400,658993272
2021-12-19,0.172533,0.174378,0.169382,0.169576,0.169576,541018118
2021-12-20,0.169523,0.170833,0.161497,0.167322,0.167322,912233179
2021-12-21,0.167098,0.172340,0.166108,0.171175,0.171175,621397179
2021-12-22,0.171129,0.179585,0.170055,0.173214,0.173214,932537493
2021-12-23,0.173209,0.184522,0.171740,0.184490,0.184490,1184481683
2021-12-24,0.184979,0.195290,0.179761,0.186622,0.186622,1853415104
2021-12-25,0.186712,0.194876,0.185571,0.190657,0.190657,1010443046
2021-12-26,0.190567,0.192546,0.185646,0.190020,0.190020,650674078
2021-12-27,0.189986,0.192923,0.187239,0.187705,0.187705,666773423
2021-12-28,0.187847,0.187885,0.172738,0.174117,0.174117,954075337
2021-12-29,0.174095,0.177339,0.166760,0.167765,0.167765,823628336
2021-12-30,0.168137,0.175771,0.165381,0.171313,0.171313,599236772
2021-12-31,0.171317,0.175294,0.167307,0.170496,0.170496,644416694
2022-01-01,0.170510,0.173423,0.170353,0.173035,0.173035,371336089
2022-01-02,0.173027,0.175989,0.171201,0.174403,0.174403,391041933
2022-01-03,0.174406,0.174406,0.168271,0.170088,0.170088,505900382
2022-01-04,0.170151,0.172339,0.168128,0.168803,0.168803,541922892
2022-01-05,0.168835,0.170747,0.151898,0.159420,0.159420,994086848
2022-01-06,0.159436,0.161706,0.155142,0.160213,0.160213,715345645
2022-01-07,0.160205,0.160295,0.151299,0.155023,0.155023,969384523
2022-01-08,0.155031,0.157725,0.147669,0.151954,0.151954,584437036
2022-01-09,0.151959,0.153742,0.149607,0.151065,0.151065,408786249
2022-01-10,0.151073,0.152135,0.139840,0.143359,0.143359,763684873
2022-01-11,0.143351,0.164621,0.142647,0.153399,0.153399,1628447666
2022-01-12,0.153458,0.161652,0.152095,0.161652,0.161652,896008600
2022-01-13,0.161562,0.174792,0.161562,0.172043,0.172043,2301820074
2022-01-14,0.172053,0.203232,0.171283,0.183549,0.183549,5784004926
2022-01-15,0.183644,0.193600,0.182676,0.185103,0.185103,1878282290
2022-01-16,0.185093,0.185093,0.175327,0.177176,0.177176,1102750171
2022-01-17,0.177187,0.177872,0.166891,0.171145,0.171145,1094379303
2022-01-18,0.171086,0.173790,0.162565,0.165485,0.165485,979693368
2022-01-19,0.165485,0.168647,0.160122,0.162356,0.162356,935006164
2022-01-20,0.162346,0.168846,0.155176,0.155204,0.155204,469269658
2022-01-21,0.155263,0.157156,0.141496,0.142640,0.142640,1163061854
2022-01-22,0.142651,0.145027,0.122816,0.132892,0.132892,1693524581
2022-01-23,0.132960,0.143072,0.132819,0.141863,0.141863,1006234946
2022-01-24,0.141881,0.141951,0.127220,0.137798,0.137798,1446873574
2022-01-25,0.137784,0.147236,0.133235,0.143049,0.143049,1347567750
2022-01-26,0.143014,0.152603,0.142152,0.143789,0.143789,1253108115
2022-01-27,0.143756,0.145010,0.136947,0.141247,0.141247,608707586
2022-01-28,0.141244,0.142413,0.138380,0.141656,0.141656,506667466
2022-01-29,0.141649,0.143984,0.141480,0.143056,0.143056,397610776
2022-01-30,0.143057,0.143515,0.138754,0.139471,0.139471,363976741
2022-01-31,0.139469,0.142264,0.136853,0.141805,0.141805,412307174
2022-02-01,0.141805,0.144129,0.141125,0.142631,0.142631,409432267
2022-02-02,0.142626,0.145253,0.136918,0.137235,0.137235,483194691
2022-02-03,0.137213,0.138747,0.135565,0.137541,0.137541,383506507
2022-02-04,0.137523,0.147592,0.137250,0.147503,0.147503,580740990
2022-02-05,0.147533,0.150140,0.145410,0.147141,0.147141,587009429
2022-02-06,0.147140,0.154775,0.145258,0.153770,0.153770,757004142
2022-02-07,0.153803,0.171586,0.151741,0.165578,0.165578,1791358822
2022-02-08,0.165606,0.169145,0.153709,0.158405,0.158405,1190116000
2022-02-09,0.158357,0.160704,0.155035,0.159123,0.159123,778670798
2022-02-10,0.159145,0.160437,0.151497,0.151889,0.151889,1053630584
2022-02-11,0.151895,0.154069,0.143349,0.144847,0.144847,776730555
2022-02-12,0.144856,0.147013,0.141678,0.144405,0.144405,602699408
2022-02-13,0.144379,0.157354,0.144031,0.148948,0.148948,1581065491
2022-02-14,0.148869,0.150132,0.143649,0.146003,0.146003,898042727
2022-02-15,0.145996,0.152199,0.145203,0.151761,0.151761,674961496
2022-02-16,0.151779,0.151824,0.146771,0.149095,0.149095,505588732
2022-02-17,0.149050,0.149889,0.138071,0.138552,0.138552,721382126
2022-02-18,0.138594,0.142097,0.136960,0.138768,0.138768,563817289
2022-02-19,0.138764,0.145906,0.138751,0.141206,0.141206,655782652
2022-02-20,0.141197,0.141197,0.135852,0.136868,0.136868,490138547
2022-02-21,0.136838,0.141345,0.128246,0.128490,0.128490,913773124
2022-02-22,0.128488,0.131696,0.125365,0.131553,0.131553,711967119
2022-02-23,0.131561,0.135337,0.127846,0.127846,0.127846,587472906
2022-02-24,0.127821,0.127851,0.109555,0.123813,0.123813,2046477370
2022-02-25,0.123843,0.128181,0.120983,0.127576,0.127576,805161073
2022-02-26,0.127568,0.130071,0.126199,0.127647,0.127647,535575654
2022-02-27,0.127639,0.128235,0.122053,0.123111,0.123111,592809151
2022-02-28,0.123118,0.134479,0.121954,0.133156,0.133156,765755924
2022-03-01,0.133174,0.137730,0.130462,0.133938,0.133938,876604512
2022-03-02,0.133964,0.136214,0.131232,0.132990,0.132990,709536320
2022-03-03,0.132998,0.133649,0.127810,0.129610,0.129610,518193386
2022-03-04,0.129631,0.129856,0.121544,0.122591,0.122591,650665594
2022-03-05,0.122614,0.125375,0.121572,0.124996,0.124996,334091552
2022-03-06,0.125025,0.125611,0.120384,0.120766,0.120766,400458464
2022-03-07,0.120769,0.122563,0.115015,0.117105,0.117105,513014829
2022-03-08,0.117106,0.119724,0.115838,0.117029,0.117029,491414294
2022-03-09,0.117047,0.123734,0.116766,0.121588,0.121588,519157507
2022-03-10,0.121572,0.121612,0.115532,0.116885,0.116885,513641345
2022-03-11,0.116893,0.118293,0.114570,0.115602,0.115602,388727358
2022-03-12,0.115608,0.117239,0.115132,0.115136,0.115136,235277001
2022-03-13,0.115080,0.116231,0.110686,0.111608,0.111608,373430106
2022-03-14,0.111607,0.118967,0.110817,0.114048,0.114048,822092169
2022-03-15,0.114043,0.114213,0.110937,0.112784,0.112784,400614617
2022-03-16,0.112779,0.116908,0.112364,0.116908,0.116908,537170937
2022-03-17,0.116907,0.118710,0.116281,0.116502,0.116502,412838814
2022-03-18,0.116490,0.119375,0.114568,0.119306,0.119306,410862503
2022-03-19,0.119278,0.124573,0.118530,0.123569,0.123569,628081786
2022-03-20,0.123579,0.123919,0.117991,0.119154,0.119154,428111799
2022-03-21,0.119146,0.121332,0.118306,0.119339,0.119339,439486516
2022-03-22,0.119333,0.125350,0.119014,0.122481,0.122481,610507111
2022-03-23,0.122487,0.130713,0.121361,0.129727,0.129727,998922753
2022-03-24,0.129722,0.140605,0.128455,0.136550,0.136550,2017926806
2022-03-25,0.136603,0.137275,0.128782,0.131013,0.131013,882486375
2022-03-26,0.131010,0.136495,0.129878,0.135868,0.135868,610401998
2022-03-27,0.135900,0.144858,0.135703,0.144732,0.144732,1445019558
2022-03-28,0.144725,0.152737,0.142457,0.142657,0.142657,1476875507
2022-03-29,0.142557,0.148559,0.141290,0.144470,0.144470,961074557
2022-03-30,0.144456,0.144997,0.139880,0.143210,0.143210,884305263
2022-03-31,0.143184,0.147220,0.137172,0.137826,0.137826,1055136949
2022-04-01,0.137922,0.142394,0.133209,0.141315,0.141315,877530017
2022-04-02,0.141310,0.144069,0.138882,0.138913,0.138913,682408266
2022-04-03,0.138903,0.148558,0.137088,0.146453,0.146453,1047399132
2022-04-04,0.146413,0.155312,0.142008,0.148591,0.148591,2253509569
2022-04-05,0.148614,0.178045,0.147727,0.172907,0.172907,5230288678
2022-04-06,0.172485,0.173497,0.143291,0.143417,0.143417,3729047979
2022-04-07,0.143432,0.148028,0.141312,0.146102,0.146102,1420790611
2022-04-08,0.146106,0.152716,0.141608,0.142549,0.142549,1683800631
2022-04-09,0.142544,0.144462,0.141416,0.144303,0.144303,523997409
2022-04-10,0.144304,0.156972,0.143863,0.149535,0.149535,1931829669
2022-04-11,0.149374,0.151292,0.133818,0.134654,0.134654,1515679359
2022-04-12,0.134652,0.144122,0.134243,0.138076,0.138076,1214105682
2022-04-13,0.138070,0.142608,0.137067,0.140080,0.140080,890728707
2022-04-14,0.140053,0.146633,0.138101,0.143920,0.143920,1759067761
2022-04-15,0.143917,0.149287,0.142767,0.146026,0.146026,1140382087
2022-04-16,0.146017,0.147811,0.142093,0.143712,0.143712,584019179
2022-04-17,0.143693,0.144709,0.138995,0.139459,0.139459,636442285
2022-04-18,0.139471,0.140461,0.134384,0.140286,0.140286,909718484
2022-04-19,0.140297,0.144141,0.139500,0.142665,0.142665,679511647
2022-04-20,0.142677,0.146241,0.139595,0.140878,0.140878,1068542289
2022-04-21,0.140868,0.142448,0.135255,0.136365,0.136365,740549793
2022-04-22,0.136357,0.137908,0.134985,0.136395,0.136395,505251263
2022-04-23,0.136387,0.136495,0.133810,0.134241,0.134241,349740069
2022-04-24,0.134202,0.134690,0.131502,0.131947,0.131947,436620221
2022-04-25,0.131936,0.167735,0.123869,0.157959,0.157959,5177823685
2022-04-26,0.157777,0.165278,0.137424,0.137767,0.137767,4529010503
2022-04-27,0.137847,0.145405,0.136272,0.139700,0.139700,1765370972
2022-04-28,0.139691,0.142618,0.136058,0.137363,0.137363,1105137506
2022-04-29,0.137376,0.144643,0.134099,0.135027,0.135027,1555397213
2022-04-30,0.135033,0.136528,0.126239,0.127557,0.127557,916612071
2022-05-01,0.127589,0.134821,0.127533,0.132773,0.132773,991710768
2022-05-02,0.132794,0.133783,0.128300,0.130938,0.130938,769062732
2022-05-03,0.130935,0.131833,0.127399,0.129520,0.129520,555706527
2022-05-04,0.129514,0.135809,0.129313,0.135809,0.135809,838050627
2022-05-05,0.135813,0.137313,0.126697,0.128430,0.128430,1258066467
2022-05-06,0.128403,0.129305,0.124566,0.127901,0.127901,839005988
2022-05-07,0.127890,0.131920,0.125365,0.127532,0.127532,746383231
2022-05-08,0.127527,0.128017,0.123974,0.124207,0.124207,728953161
2022-05-09,0.124200,0.125136,0.104824,0.104824,0.104824,1353326367
2022-05-10,0.104708,0.117775,0.100881,0.108477,0.108477,1723066438
2022-05-11,0.108449,0.110565,0.080036,0.084581,0.084581,2556008051
2022-05-12,0.084636,0.089028,0.070037,0.082671,0.082671,2631064083
2022-05-13,0.082639,0.094254,0.082371,0.088331,0.088331,1444350618
2022-05-14,0.088341,0.091598,0.084483,0.089796,0.089796,902479951
2022-05-15,0.089785,0.092843,0.086876,0.092843,0.092843,651900826
2022-05-16,0.092867,0.093061,0.086428,0.087841,0.087841,606521740
2022-05-17,0.087836,0.091112,0.087484,0.090213,0.090213,560800173
2022-05-18,0.090221,0.090797,0.083649,0.083649,0.083649,558257804
2022-05-19,0.083635,0.087124,0.082087,0.086723,0.086723,613801947
2022-05-20,0.086719,0.087750,0.082859,0.083977,0.083977,518556378
2022-05-21,0.083972,0.085110,0.082932,0.084463,0.084463,335246011
2022-05-22,0.084448,0.086480,0.084058,0.086105,0.086105,375026021
